RowID,OrderID,OrderDate,ShipMode,CustomerID,CustomerName,Segment,City,State,Country,Region,ProductID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Returned
11,ID-2021-80230,2021-01-03,Standard Class,KL-16645,Ken Lonsdale,Consumer,Papakura,Auckland,New Zealand,Oceania,TEC-CO-10004182,Technology,Copiers,912.456,4,0.4,-319.464,No
12,ID-2021-80230,2021-01-03,Standard Class,KL-16645,Ken Lonsdale,Consumer,Papakura,Auckland,New Zealand,Oceania,FUR-CH-10000214,Furniture,Chairs,159.444,2,0.4,-95.676,No
13,ID-2021-80230,2021-01-03,Standard Class,KL-16645,Ken Lonsdale,Consumer,Papakura,Auckland,New Zealand,Oceania,FUR-CH-10000666,Furniture,Chairs,68.868,2,0.4,-26.412,No
14,ID-2021-80230,2021-01-03,Standard Class,KL-16645,Ken Lonsdale,Consumer,Papakura,Auckland,New Zealand,Oceania,TEC-AC-10002881,Technology,Accessories,69.3,2,0.4,3.42,No
15,IN-2021-33036,2021-01-04,Standard Class,BD-11500,Bradley Drucker,Consumer,Tottori,Tottori,Japan,North Asia,OFF-LA-10000784,Office Supplies,Labels,27.36,3,0,13.68,No
16,IN-2021-27681,2021-01-05,Standard Class,SW-20455,Shaun Weien,Consumer,Taipei,Taipei City,Taiwan,North Asia,FUR-FU-10000394,Furniture,Furnishings,48.78,1,0,22.92,No
17,IN-2021-29963,2021-01-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,Padang,Sumatera Barat,Indonesia,Southeast Asia,OFF-ST-10000344,Office Supplies,Storage,50.1984,3,0.17,6.0084,No
18,IN-2021-29963,2021-01-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,Padang,Sumatera Barat,Indonesia,Southeast Asia,OFF-FA-10000549,Office Supplies,Fasteners,40.7358,7,0.47,-27.0942,No
19,IN-2021-76107,2021-01-06,Standard Class,KM-16660,Khloe Miller,Consumer,Jilin,Jilin,China,North Asia,OFF-EN-10002166,Office Supplies,Envelopes,30.54,1,0,13.11,No
20,ID-2021-41632,2021-01-06,Standard Class,RD-19660,Robert Dilbeck,Home Office,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,OFF-PA-10003407,Office Supplies,Paper,38.7693,3,0.17,11.5893,No
21,ID-2021-41632,2021-01-06,Standard Class,RD-19660,Robert Dilbeck,Home Office,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,OFF-ST-10001631,Office Supplies,Storage,89.9886,2,0.17,29.2686,No
22,ID-2021-28752,2021-01-07,Standard Class,AB-10060,Adam Bellavance,Home Office,Singapore,Downtown Core,Singapore,Southeast Asia,OFF-LA-10002875,Office Supplies,Labels,17.76,2,0,5.46,No
23,ID-2021-58670,2021-01-07,Standard Class,MS-17365,Maribeth Schnelling,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-AR-10003684,Office Supplies,Art,27.456,1,0.45,-4.494,No
24,ID-2021-58670,2021-01-07,Standard Class,MS-17365,Maribeth Schnelling,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-MA-10000868,Technology,Machines,445.41,7,0.25,-136.71,No
25,ID-2021-58670,2021-01-07,Standard Class,MS-17365,Maribeth Schnelling,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-MA-10004482,Technology,Machines,387.5175,3,0.25,25.8075,No
26,ID-2021-58670,2021-01-07,Standard Class,MS-17365,Maribeth Schnelling,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-AC-10003413,Technology,Accessories,273.702,2,0.45,-44.838,No
27,IN-2021-19330,2021-01-08,Second Class,NF-18595,Nicole Fjeld,Home Office,Kunming,Yunnan,China,North Asia,TEC-MA-10002468,Technology,Machines,2173.5,7,0,260.82,No
28,ID-2021-20814,2021-01-09,Standard Class,EB-13705,Ed Braxton,Corporate,Kediri,Jawa Timur,Indonesia,Southeast Asia,TEC-PH-10001730,Technology,Phones,239.7372,2,0.17,-11.6028,No
29,IN-2021-69366,2021-01-09,Standard Class,AG-10270,Alejandro Grove,Consumer,Rach Gia,Kiên Giang,Vietnam,Southeast Asia,OFF-LA-10000668,Office Supplies,Labels,45.1935,5,0.17,17.8935,No
30,IN-2021-69366,2021-01-09,Standard Class,AG-10270,Alejandro Grove,Consumer,Rach Gia,Kiên Giang,Vietnam,Southeast Asia,TEC-AC-10000354,Technology,Accessories,176.6808,6,0.47,-156.6792,No
31,IN-2021-69366,2021-01-09,Standard Class,AG-10270,Alejandro Grove,Consumer,Rach Gia,Kiên Giang,Vietnam,Southeast Asia,OFF-BI-10003874,Office Supplies,Binders,9.6114,2,0.17,0.0714,No
32,IN-2021-69366,2021-01-09,Standard Class,AG-10270,Alejandro Grove,Consumer,Rach Gia,Kiên Giang,Vietnam,Southeast Asia,TEC-PH-10003823,Technology,Phones,123.753,2,0.17,32.793,No
33,ID-2021-46483,2021-01-09,Standard Class,SC-20050,Sample Company A,Home Office,San Pedro,Laguna,Philippines,Southeast Asia,OFF-ST-10001342,Office Supplies,Storage,157.8225,5,0.45,-2.9775,No
34,ID-2021-46483,2021-01-09,Standard Class,SC-20050,Sample Company A,Home Office,San Pedro,Laguna,Philippines,Southeast Asia,OFF-FA-10000577,Office Supplies,Fasteners,51.6285,7,0.45,4.5885,No
35,ID-2021-46483,2021-01-09,Standard Class,SC-20050,Sample Company A,Home Office,San Pedro,Laguna,Philippines,Southeast Asia,OFF-PA-10003405,Office Supplies,Paper,9.3225,1,0.45,-1.7175,No
36,IN-2021-13065,2021-01-10,First Class,PO-18865,Patrick O'Donnell,Consumer,Nanning,Guangxi,China,North Asia,OFF-SU-10003559,Office Supplies,Supplies,25.92,2,0,5.4,No
37,IN-2021-13065,2021-01-10,First Class,PO-18865,Patrick O'Donnell,Consumer,Nanning,Guangxi,China,North Asia,OFF-BI-10002853,Office Supplies,Binders,34.29,3,0,16.11,No
38,IN-2021-61302,2021-01-10,First Class,DL-12865,Dan Lawera,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-LA-10000879,Office Supplies,Labels,30.456,4,0.1,12.096,No
39,IN-2021-61302,2021-01-10,First Class,DL-12865,Dan Lawera,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-PA-10003731,Office Supplies,Paper,161.514,6,0.1,53.694,No
40,IN-2021-61302,2021-01-10,First Class,DL-12865,Dan Lawera,Consumer,Brisbane,Queensland,Australia,Oceania,TEC-PH-10004664,Technology,Phones,2875.095,5,0.1,511.095,No
41,ID-2021-13660,2021-01-10,Second Class,BD-11605,Brian Dahlen,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-FA-10003615,Office Supplies,Fasteners,12.4974,3,0.47,-5.6826,No
42,IN-2021-29872,2021-01-11,Standard Class,DV-13465,Dianna Vittorini,Consumer,Kohima,Nagaland,India,Central Asia,FUR-FU-10001471,Furniture,Furnishings,141.57,3,0,52.38,No
43,IN-2021-39308,2021-01-11,Standard Class,DF-13135,David Flashing,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,TEC-PH-10002806,Technology,Phones,554.3736,4,0.17,40.0536,No
44,IN-2021-39308,2021-01-11,Standard Class,DF-13135,David Flashing,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,OFF-BI-10004334,Office Supplies,Binders,4.9053,1,0.17,-0.0147,No
45,IN-2021-39308,2021-01-11,Standard Class,DF-13135,David Flashing,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,FUR-FU-10001096,Furniture,Furnishings,187.5735,5,0.27,2.4735,No
46,IN-2021-39308,2021-01-11,Standard Class,DF-13135,David Flashing,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,OFF-AR-10003613,Office Supplies,Art,333.6903,9,0.27,13.4703,No
47,IN-2021-79761,2021-01-11,Standard Class,SC-20680,Steve Carroll,Home Office,Calamba,Laguna,Philippines,Southeast Asia,FUR-FU-10000256,Furniture,Furnishings,77.715,2,0.25,23.775,No
48,IN-2021-79761,2021-01-11,Standard Class,SC-20680,Steve Carroll,Home Office,Calamba,Laguna,Philippines,Southeast Asia,TEC-CO-10001895,Technology,Copiers,696.852,3,0.35,-343.098,No
49,ID-2021-82589,2021-01-11,Standard Class,TN-21040,Tanja Norvell,Home Office,Dunedin,Otago,New Zealand,Oceania,OFF-EN-10000128,Office Supplies,Envelopes,114.768,4,0.4,-47.832,No
50,IN-2021-38349,2021-01-13,Standard Class,CS-11845,Cari Sayre,Corporate,Mount Gambier,South Australia,Australia,Oceania,OFF-LA-10002765,Office Supplies,Labels,15.93,2,0.1,0.33,No
51,ID-2021-16453,2021-01-14,Standard Class,MY-18295,Muhammed Yedwab,Corporate,Manila,Metro Manila,Philippines,Southeast Asia,FUR-FU-10000944,Furniture,Furnishings,98.7525,3,0.25,-23.7375,No
52,ID-2021-16453,2021-01-14,Standard Class,MY-18295,Muhammed Yedwab,Corporate,Manila,Metro Manila,Philippines,Southeast Asia,OFF-ST-10004015,Office Supplies,Storage,79.992,3,0.45,5.742,No
53,ID-2021-38832,2021-01-15,Same Day,MC-18100,Mick Crebagga,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-AR-10000989,Office Supplies,Art,149.9712,4,0.27,-49.3488,No
54,ID-2021-38832,2021-01-15,Same Day,MC-18100,Mick Crebagga,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-AR-10000251,Office Supplies,Art,51.3774,3,0.27,-0.0126,No
55,IN-2021-78501,2021-01-17,Standard Class,TW-21025,Tamara Willingham,Home Office,Wollongong,New South Wales,Australia,Oceania,OFF-AR-10004138,Office Supplies,Art,18.576,2,0.1,5.136,No
56,ID-2021-80538,2021-01-17,First Class,VM-21835,Vivian Mathis,Consumer,Geraldton,Western Australia,Australia,Oceania,OFF-BI-10001397,Office Supplies,Binders,37.152,4,0.4,-9.288,No
57,IN-2021-45020,2021-01-19,Standard Class,PW-19030,Pauline Webber,Corporate,Yangon,Yangon,Myanmar (Burma),Southeast Asia,TEC-CO-10004267,Technology,Copiers,278.397,3,0.37,-106.083,No
58,IN-2021-43585,2021-01-20,Second Class,TR-21325,Toby Ritter,Consumer,Perth,Western Australia,Australia,Oceania,FUR-FU-10001096,Furniture,Furnishings,138.753,3,0.1,27.693,No
59,ID-2021-63017,2021-01-21,Standard Class,PW-19030,Pauline Webber,Corporate,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-AR-10003110,Office Supplies,Art,51.5796,2,0.47,-24.3804,No
60,ID-2021-86950,2021-01-22,First Class,SS-20875,Sung Shariari,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-FA-10003816,Office Supplies,Fasteners,6.318,1,0.4,-3.912,No
61,ID-2021-86950,2021-01-22,First Class,SS-20875,Sung Shariari,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-AR-10000751,Office Supplies,Art,59.724,6,0.4,-33.876,No
62,IN-2021-64557,2021-01-24,Standard Class,MW-18220,Mitch Webber,Consumer,Medan,Sumatera Utara,Indonesia,Southeast Asia,OFF-BI-10002885,Office Supplies,Binders,11.8773,3,0.17,4.2273,No
63,IN-2021-20737,2021-01-24,Standard Class,LC-16885,Lena Creighton,Consumer,Alice Springs,Northern Territory,Australia,Oceania,TEC-AC-10001438,Technology,Accessories,110.808,3,0.1,8.568,No
64,IN-2021-10552,2021-01-24,Standard Class,CC-12430,Chuck Clark,Home Office,Jabalpur,Madhya Pradesh,India,Central Asia,OFF-LA-10004430,Office Supplies,Labels,59.25,5,0,27.75,No
65,IN-2021-85459,2021-01-24,Standard Class,JM-15580,Jill Matthias,Consumer,Wellington,Wellington,New Zealand,Oceania,OFF-EN-10003770,Office Supplies,Envelopes,420.42,14,0,147,No
66,IN-2021-85459,2021-01-24,Standard Class,JM-15580,Jill Matthias,Consumer,Wellington,Wellington,New Zealand,Oceania,FUR-FU-10000702,Furniture,Furnishings,219.96,2,0,8.76,No
67,IN-2021-85459,2021-01-24,Standard Class,JM-15580,Jill Matthias,Consumer,Wellington,Wellington,New Zealand,Oceania,OFF-AR-10000340,Office Supplies,Art,139.2,8,0,65.28,No
68,IN-2021-53658,2021-01-25,First Class,LW-17215,Luke Weiss,Consumer,Xiangtan,Hunan,China,North Asia,OFF-PA-10000453,Office Supplies,Paper,98.22,2,0,34.32,No
69,ID-2021-36011,2021-01-26,First Class,HK-14890,Heather Kirkland,Corporate,Depok,Jawa Barat,Indonesia,Southeast Asia,FUR-CH-10003950,Furniture,Chairs,334.3035,1,0.27,-109.9365,No
70,IN-2021-15270,2021-01-26,Standard Class,CA-12265,Christina Anderson,Consumer,Semarang,Jawa Tengah,Indonesia,Southeast Asia,OFF-ST-10004365,Office Supplies,Storage,141.7059,3,0.17,51.1659,No
71,ID-2021-78102,2021-01-27,Standard Class,DB-13360,Dennis Bolton,Home Office,Samarinda,Kalimantan Timur,Indonesia,Southeast Asia,OFF-EN-10004144,Office Supplies,Envelopes,82.0599,13,0.47,-17.3901,No
72,IN-2021-50704,2021-01-27,Standard Class,PO-18865,Patrick O'Donnell,Consumer,Shenzhen,Guangdong,China,North Asia,OFF-EN-10000328,Office Supplies,Envelopes,39.96,2,0,15.18,No
73,IN-2021-33890,2021-01-27,Standard Class,KN-16450,Kean Nguyen,Corporate,Jinan,Shandong,China,North Asia,TEC-MA-10002931,Technology,Machines,366.87,7,0,106.26,Yes
74,IN-2021-63990,2021-01-28,Second Class,JR-15700,Jocasta Rupert,Consumer,Rockhampton,Queensland,Australia,Oceania,TEC-CO-10002119,Technology,Copiers,531.522,2,0.1,47.202,No
75,ID-2021-42164,2021-01-28,First Class,MP-17965,Michael Paige,Corporate,Semarang,Jawa Tengah,Indonesia,Southeast Asia,OFF-EN-10002472,Office Supplies,Envelopes,132.0495,5,0.47,-5.0505,No
76,ID-2021-42164,2021-01-28,First Class,MP-17965,Michael Paige,Corporate,Semarang,Jawa Tengah,Indonesia,Southeast Asia,OFF-SU-10000375,Office Supplies,Supplies,90.2325,5,0.47,-51.2175,No
77,ID-2021-80545,2021-01-30,Same Day,HE-14800,Harold Engle,Corporate,Papakura,Auckland,New Zealand,Oceania,FUR-CH-10003618,Furniture,Chairs,161.892,2,0.4,-29.688,No
78,IN-2021-32196,2021-01-31,Standard Class,LS-17200,Luke Schmidt,Corporate,Melbourne,Victoria,Australia,Oceania,FUR-CH-10004065,Furniture,Chairs,373.896,8,0.1,24.696,No
79,IN-2021-32196,2021-01-31,Standard Class,LS-17200,Luke Schmidt,Corporate,Melbourne,Victoria,Australia,Oceania,TEC-MA-10002680,Technology,Machines,838.593,3,0.1,121.113,No
80,IN-2021-72334,2021-01-31,Standard Class,SF-20200,Sarah Foster,Consumer,Chongqing,Chongqing,China,North Asia,OFF-BI-10004181,Office Supplies,Binders,163.98,6,0,18,No
81,IN-2021-18070,2021-01-31,Standard Class,BD-11560,Brendan Dodson,Home Office,Singapore,Downtown Core,Singapore,Southeast Asia,OFF-BI-10000089,Office Supplies,Binders,113.4,4,0,55.56,No
82,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,OFF-ST-10001057,Office Supplies,Storage,32.1,2,0,9.3,No
83,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,TEC-PH-10004575,Technology,Phones,2571.12,4,0,102.84,No
84,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,FUR-TA-10002341,Furniture,Tables,1917.24,4,0,517.56,No
85,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,OFF-PA-10002976,Office Supplies,Paper,121.92,4,0,32.88,No
86,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,OFF-PA-10003232,Office Supplies,Paper,105.66,6,0,48.6,No
87,IN-2021-81833,2021-01-31,Standard Class,TS-21610,Troy Staebel,Consumer,Paraparaumu,Wellington,New Zealand,Oceania,OFF-LA-10000757,Office Supplies,Labels,62.1,6,0,18.54,No
88,IN-2021-30733,2021-02-01,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,Central Asia,TEC-CO-10002316,Technology,Copiers,285.78,2,0,71.4,No
89,IN-2021-30733,2021-02-01,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,Central Asia,OFF-BI-10003012,Office Supplies,Binders,22.65,5,0,9.6,No
90,IN-2021-30733,2021-02-01,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,Central Asia,OFF-SU-10000484,Office Supplies,Supplies,40.68,3,0,11.79,No
91,IN-2021-30733,2021-02-01,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,Central Asia,OFF-LA-10001292,Office Supplies,Labels,20.34,3,0,9.9,No
92,ID-2021-56493,2021-02-01,Second Class,SP-20650,Stephanie Phelps,Corporate,Xiangfan,Hubei,China,North Asia,OFF-ST-10002161,Office Supplies,Storage,162.72,3,0,68.31,No
93,IN-2021-36074,2021-02-01,Second Class,DK-13150,David Kendrick,Corporate,Chongqing,Chongqing,China,North Asia,OFF-AP-10001254,Office Supplies,Appliances,352.35,5,0,137.4,Yes
94,ID-2021-60882,2021-02-02,Second Class,GD-14590,Giulietta Dortch,Corporate,Bangkok,Bangkok,Thailand,Southeast Asia,FUR-CH-10003950,Furniture,Chairs,334.3035,1,0.27,-109.9365,No
95,ID-2021-60882,2021-02-02,Second Class,GD-14590,Giulietta Dortch,Corporate,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-LA-10000950,Office Supplies,Labels,43.5024,6,0.47,-26.3376,No
96,ID-2021-60882,2021-02-02,Second Class,GD-14590,Giulietta Dortch,Corporate,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-AR-10003554,Office Supplies,Art,104.8764,4,0.47,-47.5236,No
97,IN-2021-56990,2021-02-02,First Class,ES-14080,Erin Smith,Corporate,Xinxiang,Henan,China,North Asia,OFF-AR-10000387,Office Supplies,Art,94.65,5,0,42.45,No
98,IN-2021-56990,2021-02-02,First Class,ES-14080,Erin Smith,Corporate,Xinxiang,Henan,China,North Asia,OFF-ST-10000362,Office Supplies,Storage,380.88,3,0,102.78,No
99,IN-2021-56990,2021-02-02,First Class,ES-14080,Erin Smith,Corporate,Xinxiang,Henan,China,North Asia,FUR-BO-10003913,Furniture,Bookcases,1052.31,7,0,105.21,No
100,IN-2021-56990,2021-02-02,First Class,ES-14080,Erin Smith,Corporate,Xinxiang,Henan,China,North Asia,FUR-TA-10000665,Furniture,Tables,692.328,2,0.3,-207.732,No
101,IN-2021-56990,2021-02-02,First Class,ES-14080,Erin Smith,Corporate,Xinxiang,Henan,China,North Asia,TEC-MA-10002874,Technology,Machines,468.12,4,0,112.32,No
102,IN-2021-35857,2021-02-02,Standard Class,DN-13690,Duane Noonan,Consumer,Port Macquarie,New South Wales,Australia,Oceania,FUR-FU-10001507,Furniture,Furnishings,34.02,2,0.1,7.92,Yes
103,IN-2021-35654,2021-02-03,Standard Class,TS-21160,Theresa Swint,Corporate,Zunyi,Guizhou,China,North Asia,OFF-FA-10002011,Office Supplies,Fasteners,29.82,2,0,5.64,No
104,IN-2021-80167,2021-02-04,First Class,CC-12370,Christopher Conant,Consumer,Lower Hutt,Wellington,New Zealand,Oceania,TEC-AC-10000212,Technology,Accessories,440.88,4,0,39.6,No
105,IN-2021-80167,2021-02-04,First Class,CC-12370,Christopher Conant,Consumer,Lower Hutt,Wellington,New Zealand,Oceania,OFF-AP-10003524,Office Supplies,Appliances,883.8,10,0,70.5,No
106,IN-2021-67021,2021-02-07,Second Class,NW-18400,Natalie Webber,Consumer,Kuching,Sarawak,Malaysia,Southeast Asia,OFF-ST-10004871,Office Supplies,Storage,185.04,3,0,48.06,No
107,IN-2021-40512,2021-02-07,Standard Class,LT-17110,Liz Thompson,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,TEC-PH-10002443,Technology,Phones,252.0378,2,0.17,6.0378,No
108,IN-2021-33351,2021-02-07,Standard Class,DB-13660,Duane Benoit,Consumer,Zhenjiang,Jiangsu,China,North Asia,OFF-AP-10003491,Office Supplies,Appliances,278.16,4,0,133.44,No
109,IN-2021-33351,2021-02-07,Standard Class,DB-13660,Duane Benoit,Consumer,Zhenjiang,Jiangsu,China,North Asia,OFF-LA-10001672,Office Supplies,Labels,66.96,6,0,7.92,No
110,ID-2021-85396,2021-02-07,Standard Class,SW-20275,Scott Williamson,Consumer,Auckland,Auckland,New Zealand,Oceania,TEC-CO-10003561,Technology,Copiers,285.12,2,0.4,-104.58,No
111,IN-2021-36494,2021-02-08,Standard Class,BP-11095,Bart Pistole,Corporate,Jiangmen,Guangdong,China,North Asia,FUR-FU-10000482,Furniture,Furnishings,58.17,1,0,15.69,No
112,IN-2021-36494,2021-02-08,Standard Class,BP-11095,Bart Pistole,Corporate,Jiangmen,Guangdong,China,North Asia,OFF-SU-10003559,Office Supplies,Supplies,38.88,3,0,8.1,No
113,ID-2021-61876,2021-02-09,Standard Class,DR-12940,Daniel Raglin,Home Office,Daejeon,Daejeon,South Korea,North Asia,FUR-TA-10004050,Furniture,Tables,202.776,4,0.8,-304.224,No
114,ID-2021-61876,2021-02-09,Standard Class,DR-12940,Daniel Raglin,Home Office,Daejeon,Daejeon,South Korea,North Asia,OFF-ST-10003306,Office Supplies,Storage,256.74,4,0.5,-205.5,No
115,ID-2021-61876,2021-02-09,Standard Class,DR-12940,Daniel Raglin,Home Office,Daejeon,Daejeon,South Korea,North Asia,TEC-MA-10000684,Technology,Machines,25.35,1,0.5,-20.79,No
116,ID-2021-61876,2021-02-09,Standard Class,DR-12940,Daniel Raglin,Home Office,Daejeon,Daejeon,South Korea,North Asia,OFF-BI-10002632,Office Supplies,Binders,25.725,1,0.5,-11.835,No
117,ID-2021-55975,2021-02-09,Standard Class,EH-14005,Erica Hernandez,Home Office,Brisbane,Queensland,Australia,Oceania,FUR-FU-10002223,Furniture,Furnishings,136.566,6,0.1,22.626,No
118,ID-2021-28661,2021-02-10,Second Class,ME-18010,Michelle Ellison,Corporate,Wuhan,Hubei,China,North Asia,OFF-SU-10000178,Office Supplies,Supplies,9.165,1,0.5,-7.725,No
119,IN-2021-61050,2021-02-10,First Class,FO-14305,Frank Olsen,Consumer,Kuantan,Pahang,Malaysia,Southeast Asia,FUR-CH-10003354,Furniture,Chairs,304.71,7,0,2.94,No
120,ID-2021-64599,2021-02-10,Standard Class,CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,North Asia,TEC-PH-10000303,Technology,Phones,6998.64,11,0,2939.31,Yes
121,ID-2021-64599,2021-02-10,Standard Class,CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,North Asia,OFF-SU-10001407,Office Supplies,Supplies,307.44,7,0,70.56,Yes
122,ID-2021-64599,2021-02-10,Standard Class,CA-11965,Carol Adams,Corporate,Fuji,Shizuoka,Japan,North Asia,FUR-FU-10003198,Furniture,Furnishings,201.48,4,0,24.12,Yes
123,IN-2021-60917,2021-02-11,Standard Class,SP-20860,Sung Pak,Corporate,Bangalore,Karnataka,India,Central Asia,OFF-BI-10001659,Office Supplies,Binders,21.78,3,0,3.87,No
124,IN-2021-11350,2021-02-14,Standard Class,TG-21310,Toby Gnade,Consumer,Anshan,Liaoning,China,North Asia,FUR-FU-10002598,Furniture,Furnishings,146.61,3,0,61.56,No
125,IN-2021-11350,2021-02-14,Standard Class,TG-21310,Toby Gnade,Consumer,Anshan,Liaoning,China,North Asia,OFF-AR-10003613,Office Supplies,Art,253.95,5,0,76.05,No
126,IN-2021-22662,2021-02-14,Second Class,DB-13270,Deborah Brumfield,Home Office,Kowloon,Hong Kong,Hong Kong SAR  China,North Asia,OFF-FA-10003318,Office Supplies,Fasteners,57.69,3,0,5.13,No
127,IN-2021-22662,2021-02-14,Second Class,DB-13270,Deborah Brumfield,Home Office,Kowloon,Hong Kong,Hong Kong SAR  China,North Asia,TEC-PH-10001640,Technology,Phones,73.05,1,0,29.94,No
128,IN-2021-85284,2021-02-14,Standard Class,KB-16405,Katrina Bavinger,Home Office,Dubbo,New South Wales,Australia,Oceania,TEC-PH-10001187,Technology,Phones,607.32,4,0,115.32,Yes
129,IN-2021-85284,2021-02-14,Standard Class,KB-16405,Katrina Bavinger,Home Office,Dubbo,New South Wales,Australia,Oceania,OFF-ST-10000210,Office Supplies,Storage,406.44,2,0,178.8,Yes
130,IN-2021-85284,2021-02-14,Standard Class,KB-16405,Katrina Bavinger,Home Office,Dubbo,New South Wales,Australia,Oceania,OFF-BI-10004121,Office Supplies,Binders,26.76,4,0,5.04,Yes
131,IN-2021-85284,2021-02-14,Standard Class,KB-16405,Katrina Bavinger,Home Office,Dubbo,New South Wales,Australia,Oceania,OFF-SU-10000079,Office Supplies,Supplies,156,4,0,26.52,Yes
132,ID-2021-47575,2021-02-15,Standard Class,CM-12385,Christopher Martinez,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-CO-10000865,Technology,Copiers,1235.286,6,0.35,-456.174,No
133,ID-2021-47575,2021-02-15,Standard Class,CM-12385,Christopher Martinez,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-PH-10003772,Technology,Phones,136.935,2,0.25,-1.845,No
